"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s ha sido añadido a su lista de deseos. Clic <a href=""%2$s"">aquí</a>, para continuar comprando."
"%1$s has been updated in your wishlist.","Se ha actualizado %1$s en su lista de la compra."
"%d product(s) have been added to shopping cart: %s.","%d artículo(s) se ha(n) añadido a la cesta de la compra: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s se ha movido a la lista de favoritos %s"
"%s was added to your shopping cart.","%s ha sido añadido a su carrito de compras."
"%s's Wishlist","%s's lista"
"* Required Fields","* Campos requeridos"
"In stock","Disponible"
"Last Added Items","Últimos elementos añadidos"
"Message","Mensaje"
"My Wishlist","Mi lista de deseos"
"My Wishlist (%d item)","Mis favoritos (%d elemento)"
"My Wishlist (%d items)","Mis favoritos (%d elemento)"
"My Wishlist <small>(%d)</small>","Mis favoritos <small>(%d)</small>"
"My Wishlist Link","Enlace a mi lista de la compra"
"Options Details","Detalles de las opciones"
"Out of stock","Agotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, introduzca una o más direcciones válidas de correo electrónico, separadas por comas. Ejemplo johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","PPor favor, introduzca no más de cinco direcciones de correo electrónico."
"Please input a valid email address.","Por favor, introducir una dirección de correo electrónico válida."
"Please, enter your comments...","Por favor, introduzca sus comentarios..."
"Price","Precio"
"Product","Artículo"
"Product Details and Comment","Detalles del artículo y comentarios"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Los artículos cumplen los requisitos necesarios. Sólo pueden ser añadidos a la cesta cada uno por separado."
"Product(s) %s have required options. Each product can only be added individually.","El (los) artículo(s) %s requieren opciones. Cada artículo solo se puede añadir de manera individual."
"Qty","Cantidad"
"RSS Feed","Fuente RSS"
"RSS link to %s's wishlist","Enlace RSS a %s's favoritos"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Eliminar artículo"
"Requested cart item doesn't exist","El artículo solicitado de la cesta no existe"
"Requested wishlist doesn't exist","No existe la lista de favoritos solicitada"
"SKU","SKU (Número de referencia)"
"Share Options","Opciones para compartir"
"Share Wishlist","Compartir lista de deseos"
"Share Your Wishlist","Comparte sus favoritos"
"Sharing Information","Compartiendo información"
"This Wishlist has no Items","Esta lista de deseos no tiene elementos"
"This product(s) is currently out of stock","Este artículo(s) está agotado actualmente"
"Unable to add the following product(s) to shopping cart: %s.","Imposible añadir el siguiente artículo(s) a la cesta de la compra: %s."
"Up to 5 email addresses, separated by commas","Hasta cinco direcciones de correo electrónico, separadas por comas."
"Update Wishlist","Actualizar la lista de peticiones"
"User Description","Descripción del usuario"
"User description","Descripción del usuario"
"View Details","Ver detalles"
"View Product","Vista del artículo"
"What's this?","¿Qué es esto?"
"Wishlist","Lista de deseos"
"Wishlist Section","Sección favoritos"
"Wishlist Sharing","Compartir favoritos"
"Wishlist could not be created.","No se pudo crear la lista de favoritos."
"Wishlist is empty now.","Favoritos está vacío."
"You have no items in your wishlist.","No tiene artículos en su lista de deseos."
"Your Wishlist has been shared.","Sus favoritos han sido compartidos."
